City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,kitimat,54.0524,-128.6534,18.84,67,100,4.47,CA,1724109305
126,olonkinbyen,70.9221,-8.7187,3.41,96,100,5.79,SJ,1724109306
127,tual,-5.6667,132.75,25.59,87,65,7.8,ID,1724109276
128,korla,41.7597,86.1469,27.0,36,100,4.56,CN,1724109308
129,masterton,-40.9597,175.6575,5.88,82,100,1.21,NZ,1724109309
130,hamilton,39.1834,-84.5333,24.32,58,75,5.14,US,1724109241
131,katsuura,35.1333,140.3,26.87,88,100,5.03,JP,1724109311
132,coxim,-18.5067,-54.76,30.44,19,75,0.81,BR,1724109313
133,huaibei,33.9744,116.7917,24.32,95,82,2.37,CN,1724109314
134,zhaoyuan,37.3592,120.3964,24.43,92,100,3.61,CN,1724109315
135,afaahiti,-17.75,-149.2833,23.07,64,94,12.44,PF,1724109316
136,pandan,14.0453,124.1694,28.01,78,77,1.84,PH,1724109317
137,smithers,54.7804,-127.1743,23.18,40,75,1.54,CA,1724109319
138,cockburn town,21.4612,-71.1419,28.77,83,6,8.64,TC,1724109321
139,howard springs,-12.497,131.047,26.6,72,16,2.84,AU,1724109322
140,acarau,-2.8856,-40.12,25.3,84,42,7.35,BR,1724109323
141,udachny,66.4167,112.4,15.11,70,31,5.9,RU,1724109324
142,st. john's,47.5649,-52.7093,21.27,99,100,4.12,CA,1724109254
143,kapuskasing,49.4169,-82.4331,15.05,55,20,5.14,CA,1724109326
144,mirny,62.5353,113.9611,16.45,73,83,2.4,RU,1724109327
145,perugorria,-29.3413,-58.6106,18.49,77,86,5.49,AR,1724109329
146,sandnessjoen,66.0217,12.6316,12.74,84,100,7.52,NO,1724109330
147,pacific grove,36.6177,-121.9166,21.82,74,0,4.12,US,1724109331
148,nova sintra,14.8667,-24.7167,26.77,80,8,2.9,CV,1724109332
149,iskateley,67.6803,53.1512,7.87,82,100,0.61,RU,1724109333
150,castillos,-34.1667,-53.8333,12.43,91,84,5.51,UY,1724109334
151,mahajanga,-15.7167,46.3167,21.01,64,20,2.06,MG,1724109335
152,williams lake,52.1415,-122.1445,23.92,35,40,1.54,CA,1724109336
153,mitu,1.1983,-70.1733,25.54,69,61,1.01,CO,1724109338
154,constantia,44.1833,28.65,20.39,76,1,1.4,RO,1724109339
155,waiuku,-37.25,174.75,14.81,70,100,4.73,NZ,1724109340
156,ilebo,-4.3167,20.5833,23.55,38,4,0.57,CD,1724109341
157,shimokizukuri,40.8061,140.3861,26.17,83,63,1.12,JP,1724109342
158,soio,-6.1349,12.3689,21.07,92,64,2.41,AO,1724109343
159,christchurch,-43.5333,172.6333,10.74,50,4,3.09,NZ,1724108738
160,ust-tsilma,65.441,52.1498,9.56,84,52,1.41,RU,1724109250
161,kavieng,-2.5744,150.7967,28.72,74,79,5.46,PG,1724109347
162,el calafate,-50.3408,-72.2768,2.38,65,3,0.92,AR,1724109228
163,port alfred,-33.5906,26.891,19.43,47,0,3.29,ZA,1724109349
164,college,64.8569,-147.8028,11.97,80,100,4.63,US,1724109350
